INFO 2021-08-10 09:17:11,229 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/ssl.py first seen with mtime 1627394833.0
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1628446504.4385512
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/lib-dynload/_posixsubprocess.cpython-37m-darwin.so first seen with mtime 1628156263.6411653
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/models/fields/related.py first seen with mtime 1628446504.865444
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/sqlparse/filters/reindent.py first seen with mtime 1602184477.0
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/http/__init__.py first seen with mtime 1628446504.8798356
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1628446504.5297682
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/email/contentmanager.py first seen with mtime 1627394839.0
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/jinja2/environment.py first seen with mtime 1628446330.914487
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/timezone.py first seen with mtime 1628446504.8968108
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/asyncio/subprocess.py first seen with mtime 1627394838.0
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/pkg_resources/_vendor/packaging/markers.py first seen with mtime 1611449382.0
